time,ax,ay,az,aT
1.608000,0.3685,-0.9910,1.1707,1.577
1.618000,0.3669,-1.0496,1.5222,1.885
1.628000,0.5372,-0.9795,1.8080,2.125
1.640000,-0.0218,-1.4994,2.1365,2.610
1.650000,0.3008,-1.1133,2.0602,2.361
1.660000,0.8492,-1.0162,2.0649,2.453
1.668000,1.1972,-1.1268,2.0302,2.612
1.679000,1.8719,-1.2200,2.4850,3.342
1.689000,1.4093,-0.9501,2.6384,3.138
1.699000,1.1298,-1.1295,3.0863,3.475
1.708000,1.3414,-1.4639,3.2159,3.779
1.718000,1.4297,-1.4555,3.8193,4.330
1.728000,1.0492,-1.2129,3.5947,3.936
1.747000,0.3644,-0.9124,2.1053,2.323
1.749000,1.5756,-1.0838,2.8446,3.428
1.758000,1.0533,-0.8312,2.8058,3.110
1.772000,0.4374,-1.1792,1.4907,1.950
1.778000,0.1641,-1.5859,1.3248,2.073
1.788000,-0.6296,-1.9449,0.3757,2.078
1.800000,-0.3124,-1.9789,-0.5757,2.084
1.808000,-0.5442,-1.8231,-1.2786,2.292
1.818000,-0.2481,-1.0541,-1.4222,1.788
1.828000,-0.9393,-0.4094,-2.3570,2.570
1.838000,-1.1637,0.1767,-2.8440,3.078
1.857000,-1.7872,0.6095,-3.6249,4.087
1.864000,-2.4001,0.6574,-3.9247,4.647
1.873000,-3.0198,-0.8106,-3.6605,4.814
1.878000,-2.9904,-0.8119,-3.6245,4.769
1.888000,-2.5922,-1.0086,-2.8191,3.960
1.899000,-1.6511,0.0061,-2.0639,2.643
1.907000,-1.2737,0.9856,-1.5088,2.207
1.926000,-0.6172,1.5241,-1.4386,2.185
1.928000,-0.7057,1.8820,-1.2754,2.380
1.938000,-2.1660,1.4814,-1.0163,2.814
1.967000,-1.8289,-0.9516,-1.1473,2.359
1.969000,-1.3091,-1.0193,-1.4781,2.222
1.970000,-0.9726,-0.0064,-1.7342,1.988
1.978000,-1.1992,0.9888,-1.6163,2.242
1.992000,-1.6272,0.7845,-1.2306,2.186
2.004000,-1.7336,-0.4141,-0.5173,1.856
2.009000,-1.3819,-1.2429,0.8493,2.043
2.019000,0.0006,-1.7670,0.9380,2.001
2.028000,1.7963,-1.9648,0.8692,2.800
2.037000,1.7617,-0.7268,1.3906,2.359
2.065000,0.0194,0.4204,0.4496,0.616
2.076000,-0.2197,0.3100,0.6884,0.786
2.077000,-1.0808,0.5009,0.9736,1.538
2.078000,-1.6625,-0.4516,1.8734,2.545
2.097000,-0.0703,-1.9465,2.5277,3.191
2.100000,2.7473,-2.5257,2.2025,4.333
2.109000,3.4217,-1.2526,0.9595,3.768
2.118000,2.8761,-0.5651,-0.6939,3.012
2.129000,2.0858,-0.3419,-1.4660,2.572
2.139000,0.8415,-0.2447,-1.2758,1.548
2.166000,-0.2635,-0.2451,-0.7898,0.868
2.168000,-0.3119,-0.5999,-0.0851,0.681
2.168000,-1.5543,-0.1267,1.0114,1.859
2.190000,-1.4493,-0.4243,1.3111,2.000
2.192000,-0.2845,-0.9797,1.8848,2.143
2.200000,0.7320,-1.0423,1.8324,2.232
2.214000,1.6479,-0.8872,0.9813,2.113
2.228000,1.4418,-0.6608,-0.5868,1.691
2.230000,1.1233,-0.2248,-1.6245,1.988
2.239000,1.1271,-0.2359,-1.7111,2.063
2.262000,0.8586,-0.4355,-1.4705,1.758
2.265000,0.5547,-0.4834,-1.7857,1.931
2.304000,0.2732,-0.3751,-0.8506,0.969
2.307000,-0.0975,-0.3916,-0.6936,0.802
2.308000,-0.0293,-0.2602,-0.4570,0.527
2.311000,0.5866,-0.1773,-0.0234,0.613
2.313000,1.0856,-0.3357,-0.1621,1.148
2.324000,1.4258,-0.0422,-0.6790,1.580
2.328000,2.2446,-0.4898,-1.0792,2.538
2.342000,1.7978,0.1112,-0.9478,2.035
2.371000,1.5478,0.0780,-0.8150,1.751
2.374000,1.5635,-0.1546,-0.5237,1.656
2.375000,1.5745,-0.3829,-0.1477,1.627
2.399000,1.5850,-0.2014,-0.0779,1.600
2.402000,1.0556,-0.5159,0.5796,1.310
2.403000,0.4525,-0.4836,0.7341,0.989
2.408000,0.4871,-0.4128,0.3642,0.735
2.419000,0.3550,-0.2608,-0.0279,0.441
2.442000,-0.4086,-0.2371,0.0030,0.472
2.445000,-0.4057,-0.2382,0.0036,0.470
2.456000,-0.3812,-0.3320,0.1858,0.539
2.460000,-0.0462,-0.3322,0.3390,0.477
2.478000,0.5374,-0.3632,0.1456,0.665
2.484000,1.0876,-0.2067,-0.1288,1.115
2.489000,1.1292,-0.3059,-0.2515,1.197
2.518000,0.9320,-0.3575,-0.5224,1.127
2.521000,0.5287,-0.2960,-0.4854,0.776
2.522000,0.2656,-0.3019,-0.2650,0.482
2.528000,0.0943,-0.1852,-0.1359,0.248
2.539000,-0.0705,-0.1806,0.0912,0.214
2.574000,-0.1384,-0.0987,0.2685,0.318
2.576000,-0.2563,-0.1070,0.3142,0.419
